[10:11:35] 💎 LGD | INFO | Initialisation du backend FastAPI LGD...
[10:11:35] 💎 LGD | INFO | ✅ Vérification environnement réussie !
[10:11:35] 💎 LGD | INFO | 🌍 CORS configuré : ['http://localhost:3000', 'https://le-generateur-digital.vercel.app']
[10:11:36] 💎 LGD | WARNING | ⚠️ DB not ready (attempt 1/12): (sqlite3.OperationalError) unable to open database file
(Background on this error at: https://sqlalche.me/e/20/e3q8)
[10:11:38] 💎 LGD | WARNING | ⚠️ DB not ready (attempt 2/12): (sqlite3.OperationalError) unable to open database file
(Background on this error at: https://sqlalche.me/e/20/e3q8)
[10:11:40] 💎 LGD | WARNING | ⚠️ DB not ready (attempt 3/12): (sqlite3.OperationalError) unable to open database file
(Background on this error at: https://sqlalche.me/e/20/e3q8)
[10:11:42] 💎 LGD | WARNING | ⚠️ DB not ready (attempt 4/12): (sqlite3.OperationalError) unable to open database file
(Background on this error at: https://sqlalche.me/e/20/e3q8)
[10:11:44] 💎 LGD | WARNING | ⚠️ DB not ready (attempt 5/12): (sqlite3.OperationalError) unable to open database file
(Background on this error at: https://sqlalche.me/e/20/e3q8)
[10:11:46] 💎 LGD | WARNING | ⚠️ DB not ready (attempt 6/12): (sqlite3.OperationalError) unable to open database file
(Background on this error at: https://sqlalche.me/e/20/e3q8)
[10:11:48] 💎 LGD | WARNING | ⚠️ DB not ready (attempt 7/12): (sqlite3.OperationalError) unable to open database file
(Background on this error at: https://sqlalche.me/e/20/e3q8)
[10:11:50] 💎 LGD | WARNING | ⚠️ DB not ready (attempt 8/12): (sqlite3.OperationalError) unable to open database file
(Background on this error at: https://sqlalche.me/e/20/e3q8)
[10:11:52] 💎 LGD | WARNING | ⚠️ DB not ready (attempt 9/12): (sqlite3.OperationalError) unable to open database file
(Background on this error at: https://sqlalche.me/e/20/e3q8)
[10:11:54] 💎 LGD | WARNING | ⚠️ DB not ready (attempt 10/12): (sqlite3.OperationalError) unable to open database file
(Background on this error at: https://sqlalche.me/e/20/e3q8)
[10:11:56] 💎 LGD | WARNING | ⚠️ DB not ready (attempt 11/12): (sqlite3.OperationalError) unable to open database file
(Background on this error at: https://sqlalche.me/e/20/e3q8)
[10:11:58] 💎 LGD | WARNING | ⚠️ DB not ready (attempt 12/12): (sqlite3.OperationalError) unable to open database file
(Background on this error at: https://sqlalche.me/e/20/e3q8)
[10:12:00] 💎 LGD | ERROR | 🛑 Impossible de se connecter à la base de données après plusieurs tentatives.
[11:09:59] 💎 LGD | INFO | Initialisation du backend FastAPI LGD...
[11:09:59] 💎 LGD | INFO | ✅ Vérification environnement réussie !
[11:09:59] 💎 LGD | INFO | 🌍 CORS configuré : ['http://localhost:3000', 'https://le-generateur-digital.vercel.app']
[11:10:01] 💎 LGD | INFO | ✅ Connexion à la base de données établie.
[11:10:01] 💎 LGD | INFO | 🚀 Démarrage du backend LGD...
[11:10:05] 💎 LGD | INFO | 🛑 Arrêt propre du backend LGD...
[14:06:18] 💎 LGD | INFO | Initialisation du backend FastAPI LGD...
[14:06:18] 💎 LGD | INFO | ✅ Vérification environnement réussie !
[14:06:18] 💎 LGD | INFO | 🌍 CORS configuré : ['http://localhost:3000', 'https://le-generateur-digital.vercel.app']
[14:19:59] 💎 LGD | INFO | Initialisation du backend FastAPI LGD...
[14:19:59] 💎 LGD | INFO | ✅ Vérification environnement réussie !
[14:19:59] 💎 LGD | INFO | 🌍 CORS configuré : ['http://localhost:3000', 'https://le-generateur-digital.vercel.app']
[14:43:20] 💎 LGD | INFO | Initialisation du backend FastAPI LGD...
[14:43:20] 💎 LGD | ERROR | ❌ Variables critiques manquantes : APP_ENV, JWT_SECRET
[14:46:35] 💎 LGD | INFO | Initialisation du backend FastAPI LGD...
[14:46:35] 💎 LGD | INFO | ✅ Vérification environnement réussie !
[14:46:35] 💎 LGD | INFO | 🌍 CORS configuré : ['http://localhost:3000', 'https://le-generateur-digital.vercel.app']
[14:52:28] 💎 LGD | INFO | Initialisation du backend FastAPI LGD...
[14:52:28] 💎 LGD | INFO | ✅ Vérification environnement réussie !
[14:52:28] 💎 LGD | INFO | 🌍 CORS configuré : ['http://localhost:3000', 'https://le-generateur-digital.vercel.app']
[14:58:33] 💎 LGD | INFO | Initialisation du backend FastAPI LGD...
[14:58:33] 💎 LGD | INFO | ✅ Vérification environnement réussie !
[14:58:33] 💎 LGD | INFO | 🌍 CORS configuré : ['http://localhost:3000', 'https://le-generateur-digital.vercel.app']
[15:15:19] 💎 LGD | INFO | Initialisation du backend FastAPI LGD...
[15:15:19] 💎 LGD | INFO | ✅ Vérification environnement réussie !
[15:15:19] 💎 LGD | INFO | 🌍 CORS configuré : ['http://localhost:3000', 'https://le-generateur-digital.vercel.app']
[15:22:35] 💎 LGD | INFO | Initialisation du backend FastAPI LGD...
[15:22:35] 💎 LGD | ERROR | ❌ Variables critiques manquantes : APP_ENV, DATABASE_URL, JWT_SECRET
[15:25:57] 💎 LGD | INFO | Initialisation du backend FastAPI LGD...
[15:25:57] 💎 LGD | ERROR | ❌ Variables critiques manquantes : APP_ENV, DATABASE_URL, JWT_SECRET
[15:28:11] 💎 LGD | INFO | Initialisation du backend FastAPI LGD...
[15:28:11] 💎 LGD | ERROR | ❌ Variables critiques manquantes : APP_ENV
[15:36:34] 💎 LGD | INFO | Initialisation du backend FastAPI LGD...
[15:36:34] 💎 LGD | INFO | ✅ Vérification environnement réussie !
[15:36:34] 💎 LGD | INFO | 🌍 CORS configuré : ['http://localhost:3000', 'https://le-generateur-digital.vercel.app']
[16:50:14] 💎 LGD | INFO | Initialisation du backend FastAPI LGD...
[16:50:15] 💎 LGD | ERROR | ❌ Variables critiques manquantes : APP_ENV
[16:50:16] 💎 LGD | INFO | Initialisation du backend FastAPI LGD...
[16:50:16] 💎 LGD | INFO | Initialisation du backend FastAPI LGD...
[16:50:16] 💎 LGD | INFO | Initialisation du backend FastAPI LGD...
[16:50:16] 💎 LGD | ERROR | ❌ Variables critiques manquantes : APP_ENV
[16:50:16] 💎 LGD | ERROR | ❌ Variables critiques manquantes : APP_ENV
[16:50:16] 💎 LGD | ERROR | ❌ Variables critiques manquantes : APP_ENV
[16:50:19] 💎 LGD | INFO | Initialisation du backend FastAPI LGD...
[16:50:20] 💎 LGD | ERROR | ❌ Variables critiques manquantes : APP_ENV
[16:50:21] 💎 LGD | INFO | Initialisation du backend FastAPI LGD...
[16:50:23] 💎 LGD | ERROR | ❌ Variables critiques manquantes : APP_ENV
[16:50:23] 💎 LGD | INFO | Initialisation du backend FastAPI LGD...
[16:50:23] 💎 LGD | INFO | Initialisation du backend FastAPI LGD...
[16:50:23] 💎 LGD | ERROR | ❌ Variables critiques manquantes : APP_ENV
[16:50:23] 💎 LGD | ERROR | ❌ Variables critiques manquantes : APP_ENV
[16:50:34] 💎 LGD | INFO | Initialisation du backend FastAPI LGD...
[16:50:34] 💎 LGD | ERROR | ❌ Variables critiques manquantes : APP_ENV
[16:53:19] 💎 LGD | INFO | Initialisation du backend FastAPI LGD...
[16:53:19] 💎 LGD | ERROR | ❌ Variables critiques manquantes : APP_ENV
[16:57:04] 💎 LGD | INFO | Initialisation du backend FastAPI LGD...
[16:57:04] 💎 LGD | INFO | Initialisation du backend FastAPI LGD...
[16:57:05] 💎 LGD | INFO | Initialisation du backend FastAPI LGD...
[16:57:06] 💎 LGD | INFO | ✅ Vérification environnement réussie !
[16:57:06] 💎 LGD | INFO | ✅ Vérification environnement réussie !
[16:57:06] 💎 LGD | INFO | Initialisation du backend FastAPI LGD...
[16:57:06] 💎 LGD | INFO | 🌍 CORS configuré : ['http://localhost:3000', 'https://le-generateur-digital.vercel.app']
[16:57:06] 💎 LGD | INFO | 🌍 CORS configuré : ['http://localhost:3000', 'https://le-generateur-digital.vercel.app']
[16:57:08] 💎 LGD | INFO | ✅ Vérification environnement réussie !
[16:57:08] 💎 LGD | INFO | 🌍 CORS configuré : ['http://localhost:3000', 'https://le-generateur-digital.vercel.app']
[16:57:08] 💎 LGD | INFO | Initialisation du backend FastAPI LGD...
[16:57:08] 💎 LGD | INFO | ✅ Vérification environnement réussie !
[16:57:08] 💎 LGD | INFO | Initialisation du backend FastAPI LGD...
[16:57:08] 💎 LGD | INFO | 🌍 CORS configuré : ['http://localhost:3000', 'https://le-generateur-digital.vercel.app']
[16:57:10] 💎 LGD | INFO | ✅ Vérification environnement réussie !
[16:57:10] 💎 LGD | INFO | 🌍 CORS configuré : ['http://localhost:3000', 'https://le-generateur-digital.vercel.app']
[16:57:10] 💎 LGD | INFO | ✅ Vérification environnement réussie !
